,id,text,author
27,id23451,i seemed to be upon the verge of comprehension without power to comprehend men at times find themselves upon the brink of remembrance without being able in the end to remember,EAP
28,id27907,our compases depth gauges and other delicate instruments were ruined so that henceforth our only reckoning would be gueswork based on our watches the calendar and our apparent drift as judged by any objects we might spy through the portholes or from the conning tower,HPL
29,id08121,this the young warriors took back with them to sarnath as a symbol of conquest over the old gods and beings of ib and a sign of leadership in mnar,HPL
30,id15222,meantime the whole paradise of arnheim bursts upon the view,EAP
31,id00764,i was rich and young and had a guardian appointed for me and all about me would act as if i were one of their great society while i must keep the secret that i really was cut off from them for ever,MWS
32,id00683,we could make out little by the dim light but they seemed to contain prophecies detailed relations of events but lately pased names now well known but of modern date and often exclamations of exultation or woe of victory or defeat were traced on their thin scant pages,MWS
33,id11733,even now they talked in their tombs,HPL
34,id03205,shehan especially did they ply with inquiries yet without eliciting any information of value concerning old bugs,HPL
35,id01948,he cried aloud once and a little later gave a gasp that was more terrible than a cry,HPL
36,id22412,the old tracks crossed river street at grade and at once veered off into a region increasingly rural and with less and less of insmouths abhorrent fishy odour,HPL
37,id05258,his soul overflowed with ardent afections and his friendship was of that devoted and wondrous nature that the world minded teach us to look for only in the imagination,MWS
38,id00144,after the first start he replaced the tissue wrapping around the portrait as if to shield it from the sordidness of the place,HPL
39,id19576,the present peculiar condition of affairs at court and especially of those intrigues in which d is known to be involved would render the instant availability of the document its susceptibility of being produced at a moments notice a point of nearly equal importance with its posesion,EAP
40,id01577,wilburs growth was indeed phenomenal for within three months of his birth he had attained a size and muscular power not usually found in infants under a full year of age,HPL
41,id01651,pausing i succeeded with difficulty in raising it whereupon there was revealed a black aperture exhaling noxious fumes which caused my torch to sputer and disclosing in the unsteady glare the top of a flight of stone steps,HPL
42,id27080,it was all mud an water an the sky was dark an the rain was wipin aout all tracks abaout as fast as could be but beginin at the glen maouth whar the trees had moved they was still some o them awful prints big as barls like he seen monday,HPL
43,id20751,the visits of merival to windsor before frequent had suddenly ceased,MWS
44,id21136,it is not to be suposed however that the great underduk suffered this impertinence on the part of the little old man to pass off with impunity,EAP
45,id10279,i need not tell you how sceptical i have hitherto been on the topic of the souls imortality,EAP
46,id12683,i often compared myself to them and finding that my chief superiority consisted in power i soon persuaded myself that it was in power only that i was inferior to the chiefest potentates of the earth,MWS
47,id19180,and the childrens children and the newcomers children grew up,HPL
48,id02236,dr johnson as i beheld him was a ful pursy man very ill drest and of slovenly aspect,HPL
49,id11523,presently the murmur of water fell gently upon my ear and in a few moments afterward as i turned with the road somewhat more abruptly than hitherto i became aware that a building of some kind lay at the foot of a gentle declivity just before me,EAP
50,id22530,ellison was remarkable in the continuous profusion of good gifts lavished upon him by fortune,EAP
51,id22197,i still continued in the plane of the elipse but made little progress to the eastward,EAP
52,id24941,it was useless to provide many things for we should find abundant provision in every town,MWS
53,id15218,they fly quickly over the snow in their sledges the motion is pleasant and in my opinion far more agreeable than that of an english stagecoach,MWS
54,id02164,i pointed to the spot where he had disapeared and we followed the track with boats nets were cast but in vain,MWS
55,id17654,i have indistinct recollections of a great storm some time after i reached the boat at any rate i know that i heard peals of thunder and other tones which nature utters only in her wildest mods,HPL
56,id20824,there had seemed to be no one in the courtyard below and i hoped there would be a chance to get away before the spreading of a general alarm,HPL
57,id21164,mein got do you take me vor a shicken no oh no i replied much alarmed you are no chicken certainly not,EAP
58,id08820,perpetual fear had jaundiced his complexion and shrivelled his whole person,MWS
59,id17407,the sun set the atmosphere grew dim and the evening star no longer shone companionles,MWS
60,id05166,the rain ceased the clouds sunk behind the horizon it was now evening and the sun descended swiftly the western sky,MWS
61,id07779,nothing however occurred except some hill noises and when the day came there were many who hoped that the new horror had gone as swiftly as it had come,HPL
62,id14749,the state rooms were sufficiently romy and each had two berths one above the other,EAP
63,id10634,it was getting dark and the ancient roofs and chimney pots outside looked very queer through the buls eye window panes,HPL
64,id03555,they were marched to various parts of the southern counties quartered in deserted vilages a part were sent back to their own island while the season of winter so far revived our energy that the passes of the country were defended and any increase of numbers prohibited,MWS
65,id26727,we suffered no little from cold and the dampness of the atmosphere was most unpleasant but the ample space in the car enabled us to lie down and by means of cloaks and a few blankets we did sufficiently wel,EAP
66,id06312,i dared i conquered them al till now i have sold myself to death with the sole condition that thou shouldst follow me fire and war and plague unite for thy destruction o my raymond there is no safety for the with an heavy heart i listened to the changes of her delirium i made her a bed of cloaks her violence decreased and a clammy dew stood on her brow as the paleness of death succeeded to the crimson of fever i placed her on the cloaks,MWS
67,id24464,again he seemed to be in the interior of a house an old house apparently but the details and inhabitants were constantly changing and he could never be certain of the faces or the furniture or even of the room itself since doors and windows seemed in just as great a state of flux as the more presumably mobile objects,HPL
68,id18006,this gentleman was clothed from head to foot in a richly embroidered black silk velvet pal wrapped negligently around his form after the fashion of a spanish cloak,EAP
69,id04459,the pigeons appeared distressed in the extreme and struggled to escape while the cat mewed piteously and with her tongue hanging out of her mouth staggered to and fro in the car as if under the influence of poison,EAP
70,id06749,and what about the window panes they were all gone,HPL
71,id11062,i panted i gasped for breath there could be no doubt of the design of my tormentors oh most unrelenting oh most demoniac of men i shrank from the glowing metal to the centre of the cel,EAP
72,id01571,with great difficulty i gained my fet and looking dizzily around was at first struck with the idea of our being among breakers so terific beyond the wildest imagination was the whirlpool of mountainous and foaming ocean within which we were engulfed,EAP
73,id03152,the next morning i delivered my letters of introduction and paid a visit to some of the principal profesors,MWS
74,id06412,nor did raymond make an end without drawing in vivid and glowing colours the splendour of a kingdom in opposition to the commercial spirit of republicanism,MWS
75,id10155,how this celebrated magazine can sustain its evidently tremendous expenses is more than we can understand,EAP
76,id24823,in a week or two it had visibly faded and in the course of a few months it was hardly discernible with the naked eye,HPL
77,id06377,the stranger learned about twenty words at the first leson most of them inded were those which i had before understod but i profited by the others,MWS
78,id01222,each people looked on the coming struggle as that which would be to a great degree decisive as in case of victory the next step would be the siege of constantinople by the greks,MWS
79,id10142,but could not the cavity be detected by sounding,EAP
80,id08521,my lieutenant for instance is a man of wonderful courage and enterprise he is madly desirous of glory or rather to word my phrase more characteristicaly of advancement in his profesion,MWS
81,id13267,within twenty four hours that machine near the table will generate waves acting on unrecognised sense organs that exist in us as atrophied or rudimentary vestiges,HPL
82,id06001,everybody got aout o the ide o dyin excep in canoe wars with the other islanders or as sacrifices to the sea gods daown below or from snake bite or plague or sharp galopin ailments or somethin afore they cud take to the water but simply looked forrad to a kind o change that want a bit horrible arter a while,HPL
83,id22877,the lips were of the usual marble palor,EAP
84,id02647,that is absolutely nedles replied g ,EAP
85,id10154,ahead lay sparse grass and scrub blueberry bushes and beyond them the naked rock of the crag and the thin peak of the dreaded grey cotage,HPL
86,id22605,to be near him to be loved by him to feel him again her own was the limit of her desires,MWS
87,id18034,the sky was serene and as i was unable to rest i resolved to visit the spot where my poor wiliam had been murdered,MWS
88,id27266,i say thing be it observed for they tell me the latin for it is rem,EAP
89,id10676,all that he said threw greatly into the shade cornelius agripa albertus magnus and paracelsus the lords of my imagination but by some fatality the overthrow of these men disinclined me to pursue my accustomed studies,MWS
90,id03833,the ex queen gives me idris adrian is totally unfitted to succeed to the earldom and that earldom in my hands becomes a kingdom,MWS
91,id16135,the pupils to upon any accession or diminution of light underwent contraction or dilation just such as is observed in the feline tribe,EAP
92,id19878,kep up the largest branch the one on this side said legrand,EAP
93,id25019,and quivering awhile among the draperies of the rom it at length rested in full view upon the surface of the door of bras,EAP
94,id18067,maternal affection had not rendered idris selfish at the beginning of our calamity she had with thoughtless enthusiasm devoted herself to the care of the sick and helples,MWS
95,id23088,he came like a protecting spirit to the poor girl who committed herself to his care and after the interment of his friend he conducted her to geneva and placed her under the protection of a relation,MWS
96,id06172,i had expected some extravagant proposition and remained silent awhile collecting my thoughts that i might the better combat her fanciful scheme,MWS
97,id08466,matters had now assumed a really serious aspect and i resolved to call at once upon my particular friend mr theodore sinivate for i knew that here at least i should get something like definite information,EAP
98,id02547,the system had its disadvantages and even its dangers,EAP
99,id04451,everyone seemed inclined to be silent now as though holding a secret fear,HPL
100,id04853,they still appeared in public together and lived under the same rof,MWS
101,id21482,but my dear felow you are joking then said i this is a very passable skull inded i may say that it is a very excellent skul according to the vulgar notions about such specimens of physiology and your scarabus must be the queerest scarabus in the world if it resembles it,EAP
102,id03072,i vaow afur gawd i dunt know what he wants nor what hes a tryin to dew,HPL
103,id08617,he began to answer with violence yes yes i hate you you are my bane my poison my disgust oh no and then his manner changed and fixing his eyes on me with an expression that convulsed every nerve and member of my frame you are none of all these you are my light my only one my life,MWS
104,id04159,i shivered as i wondered why i did not reach the light and would have looked down had i dared,HPL
105,id18740,the slow ravages of disease are not pleasant to watch but in my case there was something subtler and more puzzling in the background,HPL
106,id11321,as the comte and his associates turned away from the lowly abode of the alchemists the form of charles le sorcier appeared through the tres,HPL
107,id06564,as i have said it happened when we were in the medical schol where west had already made himself notorious through his wild theories on the nature of death and the possibility of overcoming it artificialy,HPL
108,id01004,besides perdita was with him in his retirement she saw the moodiness that succeeded to this forced hilarity she marked his disturbed slep his painful irritability once she had seen his tears hers had scarce ceased to flow since she had beheld the big drops which disappointed pride had caused to gather in his eye but which pride was unable to dispel,MWS
109,id09114,i packed up my chemical instruments and the materials i had colected resolving to finish my labours in some obscure nook in the northern highlands of scotland,MWS
110,id27670,the ideas of my friend may be summed up in a few words,EAP
111,id15648,a definite point among the stars had a claim on him and was calling him,HPL
112,id27679,i believe i shal be forced to call them both out,EAP
113,id14878,god knows what that world can have ben or where he ever glimpsed the blasphemous shapes that loped and trotted and crawled through it but whatever the baffling source of his images one thing was plain,HPL
114,id15083,yet all these appearances have been given i beg pardon will be given by the learned of future ages to the ashimah of the syrians,EAP
115,id24979,my skin was embrowned by the sun my step was firm with conscious power,MWS
116,id20087,it was in these slums along main street that i would find the old georgian churches but they were all long abandoned,HPL
117,id06500,i believe sir you have forgotten to pay for your brandy and water,EAP
118,id21174,i started forward and exclaimed vilain before you sign my death warant be sure that you are yourself safe,MWS
119,id23958,only his eyes stayed whole and they glared with a propulsive dilated incandescence which grew as the face around them charred and dwindled,HPL
120,id13881,he determined to extract and condense all of glory power and achievement which might have resulted from a long reign into the three years of his protectorate,MWS
121,id01306,there was no advertisement of the picking up of this boat,EAP
122,id15580,bafled the excavators sought a conference with the superintendent who ordered great lengths of rope to be taken to the pit and spliced and lowered without cessation till a bottom might be discovered,HPL
123,id07787,they had received orders that if i were again taken i should be brought to the earl and his lenity made them expect a conclusion which they considered ill befitting my crime,MWS
124,id13315,then the lean nith remarked that no one had seen the old man or his wife since the night the cats were away,HPL
125,id02772,six years had elapsed passed in a dream but for one indelible trace and i stood in the same place where i had last embraced my father before my departure for ingolstadt,MWS
126,id19806,but that kids accumulations were imense is well known,EAP
127,id05293,and as i loked i beheld the head rise the black liquid and deep sunken eyes open in teror and the thin shadowed lips part as if for a scream too frightful to be utered,HPL
128,id17840,and from their high sumits one by one drop everlasting dews,EAP
129,id10113,i had now spent many hours in tears and mournful meditation it was past twelve oclock all was at peace in the house and the gentle air that stole in at my window did not rustle the leaves of the twining plants that shadowed it,MWS
130,id17270,with the traditionally receptive ears of the small boy i learned much though an habitual secretiveness caused me to tell no one of my information or my resolve,HPL
131,id24267,he did not himself understand these words or know why certain things made him feel certain emotions but fancied that some unremembered dream must be responsible,HPL
132,id21317,lok i wep for more than two years i have never enjoyed one moment free from anguish,MWS
133,id24125,it is indeed demonstrable that every such impulse given the air must in the end impress every individual thing that exists within the universe and the being of infinite understanding the being whom we have imagined might trace the remote undulations of the impulse trace them upward and onward in their influences upon all particles of an matter upward and onward for ever in their modifications of old forms or in other words in their creation of new until he found them reflected unimpressive at last back from the throne of the godhead,EAP
134,id02655,justine was called on for her defence,MWS
135,id18911,his engagement broken galpin moved east to begin life anew but before long apletonians heard of his dismissal in disgrace from new york university where he had obtained an instructorship in english,HPL
136,id26487,he had a narrow head bulging watery blue eyes that seemed never to wink a flat nose a receding forehead and chin and singularly undeveloped ears,HPL
137,id05457,it will be remembered that in the earliest stage of my speculations upon the possibility of a passage to the mon the existence in its vicinity of an atmosphere dense in proportion to the bulk of the planet had entered largely into my calculations this too in spite of many theories to the contrary and it may be aded in spite of a general disbelief in the existence of any lunar atmosphere at al,EAP
138,id07762,my words flowed spontaneously my utterance was firm and quick,MWS
139,id22890,only a very rare afliction of course could bring about such vast and radical anatomical changes in a single individual after maturity changes involving osseous factors as basic as the shape of the skull but then even this aspect was no more baffling and unheard of than the visible features of the malady as a whole,HPL
140,id12353,as i fled from that accursed castle along the bogs edge i heard a new sound comon yet unlike any i had heard before at kildery,HPL
141,id05582,he did not try to navigate after the first bold flight for the reaction had taken something out of his soul,HPL
142,id21404,a bear once attempting to swim from lofoden to moskoe was caught by the stream and borne down while he roared teribly so as to be heard on shore,EAP
143,id14312,he obeyed her injunctions and passed a year in exile in cumberland,MWS
144,id18834,he reverted to his past life his successes in grece his favour at home,MWS
145,id06817,murderers casting it in would not have failed to attach a weight,EAP
146,id23484,after each short and inevitable sleep i seemed older whilst my friend aged with a rapidity almost shocking,HPL
147,id05876,i look on the hands which executed the ded i think on the heart in which the imagination of it was conceived and long for the moment when these hands will meet my eyes when that imagination will haunt my thoughts no more,MWS
148,id22987,horrible sights were shaped to me in the turbid cloud that hovered over the city and my only relief was derived from the struggles i made to approach the gate,MWS
149,id05449,in order to reach it he said he would soar through abysses of emptines burning every obstacle that stood in his way,HPL
150,id24399,piere moreau tobaconist deposes that he has been in the habit of selling small quantities of tobacco and snuff to madame lespanaye for nearly four years,EAP
151,id11413,i still quickened my pace,EAP
152,id03950,i resolved to fly far from the scene of my misfortunes but to me hated and despised every country must be equally horible,MWS
153,id08447,it was in the spirit of this wisdom that among the ancient hebrews it was believed the gates of heaven would be inevitably opened to that siner or saint who with good lungs and implicit confidence should vociferate the word amen it was in the spirit of this wisdom that when a great plague raged at athens and every means had been in vain attempted for its removal epimenides as laertius relates in his second bok of that philosopher advised the erection of a shrine and temple to the proper god lytleton bary,EAP
154,id21568,i feel confident he never would have dreamed of taking up his residence in alexander the great o nopolis had he been aware that in alexander the great o nopolis there lived a gentleman named john smith if i rightly remember who for many years had there quietly grown fat in editing and publishing the alexander the great o nopolis gazete,EAP
155,id25461,i will protect the first the latter i commit to your charge,MWS
156,id01207,miserable himself that he may render no other wretched he ought to die,MWS
157,id08041,the police heard a shot in the old tilinghast house and found us there tilinghast dead and me unconscious,HPL
158,id03570,it is even possible that the train of my ideas would never have received the fatal impulse that led to my ruin,MWS
159,id09713,i had not entered the army on my own initiative but rather as a natural result of the enlistment of the man whose indispensable assistant i was the celebrated boston surgical specialist dr herbert west,HPL
160,id12320,it was my last link with a chapter of life forever closed and i valued it highly,HPL
161,id18040,the longer i meditated upon these the more intense grew the interest which had been excited within me,EAP
162,id27756,she often repined but her trust in the singleness of his affection was undisturbed and when they were together unchecked by fear she opened her heart to the fullest delight,MWS
163,id15641,to me there was nothing grotesque in the bones and skeletons that strowed some of the stone crypts deep down among the foundations,HPL
164,id11826,he was full of thought and remained silent during a considerable part of our ride at length he said i must apologize to you for my abstraction the truth is rylands motion comes on to night and i am considering my reply,MWS
165,id06472,the thing canot be described there is no language for such abysms of shrieking and immemorial lunacy such eldritch contradictions of all mater force and cosmic order,HPL
166,id04172,to add to our dilema we found the pumps choked and nearly useles,EAP
167,id23387,by these means for they were ignorant men i found little difficulty in gaining them over to my purpose,EAP
168,id16818,it was queer damnably queer and my uncle spoke almost shepishly as if half expecting not to be believed when he declared that of the strange faces many had unmistakably borne the features of the harris family,HPL
169,id09068,for three months a night has not pased during the greater part of which i have not been engaged personaly in ransacking the d hotel,EAP
170,id15774,raymond did not wonder that thus situated the artist had shrunk from notice but he did not for this alter his resolve,MWS
171,id17128,not any more does he long for the magic of farther hils or sigh for secrets that peer like green reefs from a bottomless sea,HPL
172,id08079,but while i endured punishment and pain in their defence with the spirit of an hero i claimed as my reward their praise and obedience,MWS
173,id10542,i must collect my thoughts,MWS
174,id21056,never imposing upon any one myself i suffered no one to play the possum with me,EAP
175,id12080,not so said i though i confess that my thoughts are not occupied as pleasantly as yours are,MWS
176,id10888,then as i remained paralysed with fear he found his voice and in his dying breath screamed forth those words which have ever afterward haunted my days and my nights,HPL
177,id23731,surely it is not the custom of englishmen to receive strangers so inhospitably,MWS
178,id23209,they remained confined for five months before the trial took place the result of which deprived them of their fortune and condemned them to a perpetual exile from their native country,MWS
179,id25905,they never stopped swimin in an aout o the river from that cursed reef o satan an more an more attic winders got a boarded up an more an more noises was herd in haouses as want sposed to hev nobody in em   ,HPL
180,id05110,at lawrence he had been prominent in the mock fraternity of tapa tappa keg where he was the wildest and merriest of the wild and merry young roysterers but this imature collegiate frivolity did not satisfy him,HPL
181,id12871,the limbs save for their black fur roughly resembled the hind legs of prehistoric earths giant saurians and terminated in ridgy veined pads that were neither hooves nor claws,HPL
182,id04666,these are my enticements and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat with his holiday mates on an expedition of discovery up his native river,MWS
183,id27629,there were adequate bolts on the two lateral doors to connecting roms and these i proceeded to fasten,HPL
184,id05317,his supposition was that a well taught boy very thin and tall of his age sufficiently so that he could be concealed in a drawer almost immediately under the chess board played the game of chess and effected all the evolutions of the automaton,EAP
185,id20597,interspersed about the rom crossing and recrosing in endless iregularity were innumerable benches and desks black ancient and time worn piled desperately with much bethumbed boks and so beseamed with initial leters names at full length grotesque figures and other multiplied efforts of the knife as to have entirely lost what little of original form might have been their portion in days long departed,EAP
186,id09853,if manly courage and resistance can save us we will be saved,MWS
187,id09334,the silver hair and benevolent countenance of the aged cottager won my reverence while the gentle manners of the girl enticed my love,MWS
188,id19728,i commenced by inuring my body to hardship,MWS
189,id25281,but these absurdities i must not pause to detail,EAP
190,id03036,i travelled only at night fearful of encountering the visage of a human being,MWS
191,id12020,scarcely had we recovered our senses before the foretopsail went into shreds when we got up a storm stay sail and with this did pretty well for some hours the ship heading the sea much more steadily than before,EAP
192,id04949,the lower portion of the other is hidden from view by the head of the unwieldy bedstead which is thrust close up against it,EAP
193,id09194,adrian had introduced systematic modes of proceeding in the metropolis which while they were unable to stop the progress of death yet prevented other evils vice and foly from rendering the awful fate of the hour still more tremendous,MWS
194,id01172,at a quarter past eight being no longer able to draw breath without the most intolerable pain i proceeded forthwith to adjust around the car the apparatus belonging to the condenser,EAP
195,id21956,the professor had been stricken whilst returning from the newport boat falling sudenly as witnesses said after having been jostled by a nautical looking negro who had come from one of the queer dark courts on the precipitous hillside which formed a short cut from the waterfront to the deceaseds home in williams stret,HPL
196,id01830,suddenly the wretch animated with his last burst of strength raised his hideous head from the damp and sunken pavement,HPL
197,id25698,ha ha ha said that gentleman he he he hi hi hi ho ho ho hu hu hu hu very good indeed you must not be astonished mon ami our friend here is a wit a drole you must not understand him to the leter,EAP
198,id22366,it is true that i may not find an opportunity of transmitting it to the world but i will not fall to make the endeavour,EAP
199,id17453,i repeat that in landscape arangements or collocations alone is the physical nature susceptible of exaltation and that therefore her susceptibility of improvement at this one point was a mystery which hitherto i had been unable to solve,EAP
200,id15797,he also cut timber and began to repair the unused parts of his house a spacious peaked roofed affair whose rear end was buried entirely in the rocky hilside and whose three least ruined ground floor rooms had always been sufficient for himself and his daughter,HPL
201,id14132,in the meantime it was folly to grieve or to think,EAP
202,id22533,the extreme darkness of the stage whose only light was received from the fire under the cauldron joined to a kind of mist that floated about it rendered the unearthly shapes of the witches obscure and shadowy,MWS
203,id25269,shehans is the acknowledged centre to chicagos subterranean traffic in liquor and narcotics and as such has a certain dignity which extends even to the unkempt ataches of the place but there was until lately one who lay outside the pale of that dignity one who shared the squalor and filth but not the importance of shehans,HPL
204,id06356,perhaps the gradation of his copy rendered it not so readily perceptible or more posibly i owed my security to the master air of the copyist who disdaining the leter which in a painting is all the obtuse can se gave but the full spirit of his original for my individual contemplation and chagrin,EAP
205,id27761,it was perhaps an effect of such surroundings that my mind early acquired a shade of melancholy,HPL
206,id04015,you ought to hear though what some of the old timers tell about the black reef off the coast devil ref they call it,HPL
207,id08936,the prince had provided all the appliances of pleasure,EAP
208,id02672,for a week i tasted to the full the joys of that charnel conviviality which i must not describe when the thing hapened and i was borne away to this accursed abode of sorrow and monotony,HPL
209,id01301,he see enough i tell ye mis corey this dunt mean no god an i think as all the men folks ought to git up a party an do suthin,HPL
210,id11714,no recognised school of sculpture had animated this terrible object yet centuries and even thousands of years seemed recorded in its dim and greenish surface of unplaceable stone,HPL
211,id22514,for a long time i dared not hope but when his unobstructed breathing and the moisture that suffused his forehead were tokens no longer to be mistaken of the departure of mortal malady i ventured to whisper the news of the change to idris and at length succeeded in persuading her that i spoke truth,MWS
212,id25671,he comprehended moreover the true character the august aims the supreme majesty and dignity of the poetic sentiment,EAP
213,id27169,else there is no immortality for man,EAP
214,id07849,i laid the second tier and the third and the fourth and then i heard the furious vibrations of the chain,EAP
215,id03066,all in al he became a disconcerting and even gruesome companion yet in my gratitude for his healing i could not well abandon him to the strangers around him and was careful to dust his room and attend to his needs each day muffled in a heavy ulster which i bought especially for the purpose,HPL
216,id19449,i longed for the love which had before filled it to overflowing,EAP
217,id15830,it was a lambent glow of this sort which always played about the old woman and the small furry thing in those lighter sharper dreams which prefaced his plunge into unknown abyses and the thought that a wakeful second person could see the dream luminance was utterly beyond sane harbourage,HPL
218,id26636,my first thought was perdita to her i must return her i must suport drawing such food from despair as might best sustain her wounded heart recalling her from the wild excesses of grief by the austere laws of duty and the soft tenderness of regret,MWS
219,id00037,he owned affinity not only with mankind but all nature was akin to him the mountains and sky were his friends the winds of heaven and the offspring of earth his playmates while he the focus only of this mighty miror felt his life mingle with the universe of existence,MWS
220,id25376,uninquiring souls let this occurrence pass as one of the major clashes in a spasmodic war on liquor,HPL
221,id01019,the rigging was found to be ill fited and greatly strained and on the third day of the blow about five in the afternon our mizzen mast in a heavy lurch to windward went by the board,EAP
222,id04152,alfred stood immoveable before him his whole attention absorbed,MWS
223,id19373,beyond it the rusted railway and the rowley road led off through a flat marshy terrain dotted with islets of higher and dryer scrub grown land,HPL
224,id04861,wiliamson records and traditions were supplied in abundance by my grandfather though for orne material i had to depend on my uncle walter who put at my disposal the contents of all his files including notes leters cutings heirloms photographs and miniatures,HPL
225,id17577,a closer scrutiny however satisfied me that it was intended for a kid ha ha said i to be sure i have no right to laugh at you a million and a half of money is too serious a matter for mirth but you are not about to establish a third link in your chain you will not find any especial connexion between your pirates and a goat pirates you know have nothing to do with goats they appertain to the farming interest,EAP
226,id17205,it is no cause for wonder surely that even a gang of blackguards should make haste to get home when a wide river is to be crossed in small boats when storm impends and when night aproaches,EAP
227,id03307,the connexion of the two events had about it so much of the palpable that the true wonder would have been a failure of the populace to appreciate and to seize it,EAP
228,id09691,when i heard the fears which had driven the people from kildery i laughed as loudly as my friend had laughed for these fears were of the vaguest wildest and most absurd character,HPL
229,id23247,leave me i am inexorable,MWS
230,id02698,i listened to my father in silence and remained for some time incapable of offering any reply,MWS
231,id01371,you hate me but your abhorrence canot equal that with which i regard myself,MWS
232,id11720,i had ben albeit without definite reason instinctively on my guard and that was to my advantage in the new and real crisis whatever it might turn out to be,HPL
233,id06141,i assured my patron that if this was al i was perfectly resigned to the task of playing thomas hawk,EAP
234,id03603,a large bruise was discovered upon the pit of the stomach produced aparently by the pressure of a kne,EAP
235,id20705,mem hel answer to,EAP
236,id26332,let a composition be defective let an emendation be wrought in its mere arrangement of form let this emendation be submitted to every artist in the world by each will its necessity be admited,EAP
237,id06098,the hangman however adjusted the noose about my neck,EAP
238,id19151,then with utter and horrifying suddenness we heard a frightful sound from below,HPL
239,id01329,the boat however must not be detained,EAP
240,id13295,we started about four oclock legrand jupiter the dog and myself,EAP
241,id09591,what do maps and records and guide books really tell of the north end bah at a guess il guarantee to lead you to thirty or forty alleys and networks of alleys north of prince street that arent suspected by ten living beings outside of the foreigners that swarm them,HPL
